Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
Sample Size:,3,1,4,4,2,3,2,3,2,0,2,3,0,2,0,0,1,2,0,1,0,3,0,2,2,4,1,8,2,1,2,6,2,3,5,5,2,11,10,4,6,2,9,6,8,3,2,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lesser Rhea (<em class=""sci"">Rhea pennata</em>)",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elegant Crested-Tinamou (<em class=""sci"">Eudromia elegans</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0
"Anser sp. (<em class=""sci"">Anser sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0
"Black-necked Swan (<em class=""sci"">Cygnus melancoryphus</em>)",0.3333333,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.6363636,0.2,0.75,0.8333333,0.5,0.1111111,0,0.125,0.0015,0,0.1428571
"Coscoroba Swan (<em class=""sci"">Coscoroba coscoroba</em>)",0.0015,0,0.25,0.75,0.5,0,0.5,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.3636364,0.3,0.75,0.5,0.5,0.1111111,0.3333333,0.375,0.6666667,0.5,0.5714286
"Upland Goose (<em class=""sci"">Chloephaga picta</em>)",0.3333333,0.0015,0.75,0.75,1,0.3333333,0.5,0,1,0.0015,0.5,0.6666667,0,0,0,0,0,0,0,1,0,0,0,0.0015,0,0.25,0,0.875,0.5,1,1,0.8333333,1,1,1,1,1,0.9090909,0.9,0.75,0.8333333,1,0.6666667,0.8333333,0.75,0.3333333,1,0.7142857
"Ashy-headed Goose (<em class=""sci"">Chloephaga poliocephala</em>)",0,0,0.25,0.25,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
"Crested Duck (<em class=""sci"">Lophonetta specularioides</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spectacled Duck (<em class=""sci"">Speculanas specularis</em>)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0.25,0,0,0,0,0,0,0,0
"Silver Teal (<em class=""sci"">Spatula versicolor</em>)",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamon Teal (<em class=""sci"">Spatula cyanoptera</em>)",0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.1428571
"Red Shoveler (<em class=""sci"">Spatula platalea</em>)",0.0015,0.0015,0.75,0.5,1,0.3333333,0.5,0,0,0.0015,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.2727273,0.6,0.75,0.8333333,0.5,0.3333333,0.6666667,0.75,1,0.5,0.5714286
"Chiloe Wigeon (<em class=""sci"">Mareca sibilatrix</em>)",0.3333333,0,0.75,0.75,1,0.6666667,0,0,1,0.0015,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.4545455,0.6,0.5,0.8333333,1,0.4444444,0.6666667,0.875,0.6666667,0.5,0.5714286
"Mallard (<em class=""sci"">Anas platyrhynchos</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Yellow-billed Pintail (<em class=""sci"">Anas georgica</em>)",0.3333333,0.0015,0.5,0.75,0.5,0.6666667,0.5,0,0.5,0.0015,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,1,0.5,0.8333333,0.5,0.3333333,0.8,1,0.5,0.6363636,0.7,0.75,0.8333333,1,0.2222222,0.6666667,0.625,1,1,0.7142857
"Yellow-billed Teal (<em class=""sci"">Anas flavirostris</em>)",0.3333333,0.0015,0.75,0.75,1,0.3333333,0,0,1,0.0015,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,0.5,0.5,0.5,0.3333333,0.6,0.6,1,0.5454545,0.5,0.5,0.3333333,0.5,0.2222222,0.3333333,0.625,0.6666667,0.5,0.4285714
"Rosy-billed Pochard (<em class=""sci"">Netta peposaca</em>)",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.0909091,0,0,0,0,0,0.1666667,0,0,0,0
"Andean Duck (<em class=""sci"">Oxyura ferruginea</em>)",0.3333333,0,0.25,0.5,1,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.0909091,0.4,0.5,0,0,0.2222222,0.6666667,0.375,0.3333333,0,0.1428571
"Lake Duck (<em class=""sci"">Oxyura vittata</em>)",0,0,0.25,0.25,1,0.3333333,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.6,0.5,0.0909091,0.5,0.25,0.5,0.5,0.3333333,0.1666667,0.5,0.6666667,0.5,0.4285714
"Andean/Lake Duck (<em class=""sci"">Oxyura ferruginea/vittata</em>)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571
"California Quail (<em class=""sci"">Callipepla californica</em>)",0,0,0,0.25,0.5,0,0,0,1,0,0.5,0.3333333,0,0,0,0,0,0,0,1,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0,0.1666667,0.5,0.3333333,0.1666667,0.25,0.3333333,0,0.2857143
"Wild Turkey (<em class=""sci"">Meleagris gallopavo</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0
"Chilean Flamingo (<em class=""sci"">Phoenicopterus chilensis</em>)",0.6666667,1,0.75,0.5,0.5,0.3333333,0.5,0,1,0.0015,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.625,0.5,1,0.5,0.6666667,0,0,0.4,0.8,0.5,0.8181818,0.7,0.75,1,1,0.1111111,0.5,0.5,0.6666667,1,0.5714286
"White-tufted Grebe (<em class=""sci"">Rollandia rolland</em>)",0.3333333,0,0.25,0.75,0.5,0.3333333,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.2727273,0.5,0.5,0.3333333,0.5,0.2222222,0.3333333,0.5,0.6666667,0,0.4285714
"Pied-billed Grebe (<em class=""sci"">Podilymbus podiceps</em>)",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Grebe (<em class=""sci"">Podiceps major</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0015,0,0,0,0,0
"Silvery Grebe (<em class=""sci"">Podiceps occipitalis</em>)",0.3333333,0.0015,0.25,0.5,0.5,0.3333333,0.5,0,0,0,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.8,1,0.5,0.4545455,0.7,0.75,0.6666667,0.5,0.4444444,0.8333333,0.75,0.6666667,1,0.4285714
"Rock Pigeon (<em class=""sci"">Columba livia</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0,0,0,0,0,0,0,0,0
"Picazuro Pigeon (<em class=""sci"">Patagioenas picazuro</em>)",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0,0,0,0,0,0,0,0,0
"Chilean Pigeon (<em class=""sci"">Patagioenas araucana</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1111111,0,0,0,0,0
"Picui Ground Dove (<em class=""sci"">Columbina picui</em>)",0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-winged Ground Dove (<em class=""sci"">Metriopelia melanoptera</em>)",0.3333333,0,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0
"Eared Dove (<em class=""sci"">Zenaida auriculata</em>)",0,0,0.5,0.5,0.5,0.6666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.4,0.25,0,0.0015,0.4444444,0.3333333,0.375,0,0.5,0.1428571
"Band-winged Nightjar (<em class=""sci"">Systellura longirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0
"Green-backed Firecrown (<em class=""sci"">Sephanoides sephaniodes</em>)",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red-gartered Coot (<em class=""sci"">Fulica armillata</em>)",0.3333333,0,0.5,0.25,0.5,0.6666667,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.5,0.5454545,0.7,0.75,0.8333333,0.5,0.3333333,0.8333333,0.75,1,1,0.5714286
"White-winged Coot (<em class=""sci"">Fulica leucoptera</em>)",0,0.0015,0.25,0.75,0.5,0.6666667,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0.4,0.2,0.5,0.2727273,0.5,0.5,0,0,0.2222222,0.1666667,0.625,0.3333333,0,0.1428571
"coot sp. (<em class=""sci"">Fulica sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1111111,0,0.125,0,0,0
"Black-necked Stilt (<em class=""sci"">Himantopus mexicanus</em>)",0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3333333,0,0,0,0,0.1,0,0.1666667,0,0,0.1666667,0,0,0,0
"Southern Lapwing (<em class=""sci"">Vanellus chilensis</em>)",0.3333333,0.0015,1,0.75,0.5,0.3333333,0.5,0,1,0.0015,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.5,0.5,1,1,0.8333333,1,1,0.8,1,1,0.9090909,0.8,1,0.8333333,1,0.6666667,0.6666667,0.625,0.6666667,1,0.4285714
"Collared Plover (<em class=""sci"">Anarhynchus collaris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0
"Gray-breasted Seedsnipe (<em class=""sci"">Thinocorus orbignyianus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0
"Least Seedsnipe (<em class=""sci"">Thinocorus rumicivorus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0
"Magellanic Snipe (<em class=""sci"">Gallinago magellanica</em>)",0,0,0.5,0.5,0.5,0.3333333,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0.1666667,0.125,0,0,0
"Wilson's Phalarope (<em class=""sci"">Phalaropus tricolor</em>)",0.0015,0,0.25,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1818182,0,0.5,0.3333333,0,0.1111111,0.3333333,0.25,0.3333333,1,0.4285714
"Lesser Yellowlegs (<em class=""sci"">Tringa flavipes</em>)",0,0,0.25,0.5,0,0.3333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1818182,0,0,0,0,0,0.1666667,0.375,0,0,0.1428571
"Greater Yellowlegs (<em class=""sci"">Tringa melanoleuca</em>)",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0909091,0,0.25,0.1666667,0,0,0.1666667,0.25,0,0,0
"Baird's Sandpiper (<em class=""sci"">Calidris bairdii</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.0909091,0.2,0,0,0,0,0.1666667,0,0,0,0
"Brown-hooded Gull (<em class=""sci"">Chroicocephalus maculipennis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0
"Kelp Gull (<em class=""sci"">Larus dominicanus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0.25,0,0.5,0.1111111,0,0,0,0,0
"Neotropic Cormorant (<em class=""sci"">Nannopterum brasilianum</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3333333,0.0015,0,0.1666667,0,0,0,0
"Black-crowned Night Heron (<em class=""sci"">Nycticorax nycticorax</em>)",0,0,0.25,0.25,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0.1666667,0.125,0,0.5,0.1428571
"Snowy Egret (<em class=""sci"">Egretta thula</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571
"Great Egret (<em class=""sci"">Ardea alba</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571
"Cocoi Heron (<em class=""sci"">Ardea cocoi</em>)",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-faced Ibis (<em class=""sci"">Theristicus melanopis</em>)",0.3333333,0,0.25,0.5,0,0,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6666667,0.2,0.6,0.5,0.1818182,0.4,0.5,0.3333333,0.0015,0.6666667,0.3333333,0.5,0,0.5,0.5714286
"Andean Condor (<em class=""sci"">Vultur gryphus</em>)",0,0,0.75,0.25,0.5,0.3333333,0,0.3333333,0,0,0.5,0.3333333,0,0.5,0,0,1,0.5,0,1,0,1,0,0.0015,0.5,0.5,1,0.625,0.5,0,0.5,0.3333333,0,0.6666667,0,0.2,0.5,0.2727273,0.6,0.25,0.3333333,0.5,0,0.6666667,0.625,0.6666667,0,0.2857143
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",0.3333333,0,0.5,0.25,0.5,0.3333333,0,0.3333333,0.5,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0.25,0,0,0,0,0,0.1666667,0,0.3333333,0,0.2,0,0.2727273,0.3,0.25,0,0.5,0.4444444,0.6666667,0.25,0.3333333,0,0
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",0,0,0.75,0.25,0,0,0.5,0.6666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1818182,0.4,0,0,0.5,0.1111111,0.5,0,0,0,0
"Cinereous Harrier (<em class=""sci"">Circus cinereus</em>)",0.3333333,0,0.25,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0.25,0.1666667,0.0015,0.1111111,0.1666667,0.125,0.3333333,0.5,0.1428571
"Chilean Hawk (<em class=""sci"">Accipiter chilensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris's Hawk (<em class=""sci"">Parabuteo unicinctus</em>)",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0,0,0,0.25,0,0,0,0,0,0,1,0.3333333,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1666667,0.5,0,0.1666667,0.125,0,0,0
"Black-chested Buzzard-Eagle (<em class=""sci"">Geranoaetus melanoleucus</em>)",0.3333333,0.0015,0.75,0.75,1,0.3333333,0,0.6666667,0.5,0.0015,0.5,0.6666667,0,0.5,0,0,0,0,0,1,0,1,0,0.0015,0,0.75,0,0.375,0,0,0,0.1666667,0,0.3333333,0.2,0.4,0.5,0.4545455,0.7,0,0.6666667,0.5,0.5555556,0.3333333,0.125,0.3333333,0,0.1428571
